bbr_player_id,name,salary_usd,notes
tonjejo01,John Tonje,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
dickihu01,Hunter Dickinson,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
mcculke01,Kevin McCullar Jr.,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
youngch01,Chris Youngblood,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
moralal01,Alex Morales,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
crawfis01,Isaiah Crawford,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
kentja01,Jayson Kent,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
pedulse01,Sean Pedulla,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
liveris01,Isaiah Livers,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
barnhbr01,Brooks Barnhizer,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
moorewe01,Wendell Moore Jr.,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
ingraha01,Harrison Ingram,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
castlco01,Colin Castleton,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
jonesis01,Isaac Jones,1955377,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN)
washity02,TyTy Washington Jr.,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
keelstr01,Trevor Keels,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
jemistr01,Trey Jemison,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
manonch01,Chris Mañon,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
goldivl01,Vladislav Goldin,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
hepbuch01,Chucky Hepburn,1361969,Carry-forward 2025-26 salary pending 2026-27 confirmation (rostered on ESPN); floored to NBA minimum for draft cap
jamesle01,LeBron James,3876529,"2-year ~$8M vet min (player option Y2); 2026-27 year-1 $3,876,529"
thybuma01,Matisse Thybulle,3286399,"1-year vet min; 2026-27 $3,286,399"
greendr01,Draymond Green,27678571,1-year $27.7M return after declining player option
hardeja01,James Harden,33436574,CLE provisional 2026-27 draft salary (unsigned; prior PHI player option AAV) pending official deal
sochaje01,Jeremy Sochan,2449142,1-year non-guaranteed veteran minimum
walkelo01,Lonnie Walker IV,3286399,"1-year vet min $3,286,399 (training camp deal)"
paytoga02,Gary Payton II,3876529,1-year ~$3.9M return to GSW
houstca01,Caleb Houstan,2449142,1-year deal
