bbr_player_id,name,team,position,age,games_played,games_started,minutes,points,rebounds,assists,steals,blocks,turnovers,field_goals_made,field_goals_attempted,field_goal_pct,three_pointers_made,three_pointers_attempted,three_point_pct,free_throws_made,free_throws_attempted,free_throw_pct,offensive_rebounds,defensive_rebounds,personal_fouls,effective_field_goal_pct,true_shooting,defensive_win_shares,defensive_box_plus_minus,defensive_rebound_pct,steal_pct,block_pct
doncilu01,Luka Dončić,LAL,PG,26,64,64,35.8,33.5,7.7,8.3,1.6,0.5,4.0,10.8,22.8,0.473,4.0,10.8,0.370,7.9,10.1,0.782,0.6,7.1,2.4,0.561,0.615,2.9,1.3,22.5,2.2,1.4
gilgesh01,Shai Gilgeous-Alexander,OKC,PG,27,68,68,33.2,31.1,4.3,6.6,1.4,0.8,2.2,10.8,19.4,0.553,1.7,4.4,0.386,7.9,9.0,0.879,0.6,3.7,2.0,0.597,0.652,4.1,3.0,11.7,2.0,2.3
