PLAYER_NAME,BBR_PLAYER_ID,TEAM_ABBREVIATION,DWS,DBPM,DRB_PCT,STL_PCT,BLK_PCT
Mark Williams,willima07,PHO,2.3,0.5,23.7,1.9,3.7
Tari Eason,easonta01,HOU,2.3,0.2,17.8,2.3,1.7
Brandin Podziemski,podzibr01,GSW,2.3,-0.1,16.9,1.8,0.6
Duncan Robinson,robindu01,DET,2.3,-0.1,9.2,1.0,1.0
Alex Caruso,carusal01,OKC,2.2,3.3,13.0,3.4,1.6
Dylan Harper,harpedy01,SAS,2.2,1.1,12.1,1.7,1.4
Jarrett Allen,allenja01,CLE,2.2,0.4,24.0,1.7,2.9
Jalen Brunson,brunsja01,NYK,2.2,-0.9,9.4,1.1,0.3
Deandre Ayton,aytonde01,LAL,2.2,-0.9,22.6,1.0,3.3
Paul Reed,reedpa01,DET,2.1,2.9,20.1,3.1,6.6
Ryan Kalkbrenner,kalkbry01,CHO,2.1,1.3,15.7,1.1,6.3
Isaiah Stewart,stewais01,DET,2.1,1.1,16.3,0.6,7.0
Draymond Green,greendr01,GSW,2.1,1.0,19.5,1.6,2.1
Jake LaRavia,laravja01,LAL,2.1,0.5,11.5,2.5,1.7
LeBron James,jamesle01,LAL,2.1,0.2,18.3,1.8,1.6
Harrison Barnes,barneha02,SAS,2.1,0.1,7.9,1.2,0.5
Tristan Da Silva,dasiltr01,ORL,2.1,0.1,13.4,1.7,1.2
Sam Hauser,hausesa01,BOS,2.1,0.0,13.6,1.0,1.2
Matas Buzelis,buzelma01,CHI,2.1,-0.4,17.3,1.1,4.5
James Harden,hardeja01,2TM,2.1,-0.8,13.6,1.6,1.1
Robert Williams,williro04,POR,2.0,2.4,29.9,1.7,7.7
P.J. Washington,washipj01,DAL,2.0,0.1,18.7,1.5,2.9
Daniss Jenkins,jenkida01,DET,2.0,0.1,8.7,2.1,1.0
Jamal Shead,sheadja01,TOR,2.0,0.0,7.2,2.0,0.8
Jaime Jaquez Jr.,jaqueja01,MIA,2.0,-0.1,13.7,1.1,0.9
RJ Barrett,barrerj01,TOR,2.0,-0.7,16.3,1.2,1.1
Dru Smith,smithdr01,MIA,1.9,3.6,10.2,4.1,1.6
Jordan Walsh,walshjo01,BOS,1.9,1.6,16.6,2.0,2.6
Collin Murray-Boyles,murraco01,TOR,1.9,1.5,14.0,2.0,4.1
Jay Huff,huffja01,IND,1.9,1.3,16.2,1.1,7.6
Ryan Dunn,dunnry01,PHO,1.9,1.2,16.8,2.2,2.0
Sion James,jamessi01,CHO,1.9,1.1,14.3,1.4,1.0
